Entidad federativa,,Extensión manglares (Km2),,
Pacífico Norte,,,,
Baja California Sur,,0.39,,
Baja California Norte,,265.79,,
Sonora,,121.11,,
Sinaloa,,815.58,,
Nayarit,,670.96,,
,,,,
Pacífico Centro,,,,
Jalisco,,22.71,,
Colima,,33.02,,
Michoacan,,14.38,,
Guerrero,,66.93,,
Oaxaca,,186.9,,
Chiapas,,468.04,,
,,,,
Golfo de México y Caribe,,,,
Tamaulipas,,33.27,,
Veracruz,,383.11,,
Tabasco,,454.1,,
Campeche,,1988.53,,
Yucatán,,931.71,,
Quintana Roo,,1299.02,,
,,,,
"Valderrama-Landeros L. H., Rodríguez-Zúñiga M.T., Troche-Souza C., Velázquez-Salazar, S., Villeda-Chávez,",,,,
"E., Alcántara-Maya, J.A., Vázquez-Balderas B., Cruz-López M. I., Ressl R., 2017. Manglares de México: actualización",,,,
y exploración de los datos del sistema de monitoreo 1970/1980–2015. Comisión Nacional para el Conocimiento y Uso,,,,
"de la Biodiversidad. Ciudad de México, 128 pp.",,,,
