Kingdom,Phylum,Class,Order,Family,Genus,Species,Gen_Species,IUCN_Status,Year Assessed
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Blastomussa,merleti,Blastomussa merleti,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Blastomussa,wellsi,Blastomussa wellsi,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Cantharellus,noumeae,Cantharellus noumeae,EN,2008
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Coeloseris,mayeri,Coeloseris mayeri,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,SIDERASTREIDAE,Coscinaraea,columna,Coscinaraea columna,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,SIDERASTREIDAE,Coscinaraea,exesa,Coscinaraea exesa,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,SIDERASTREIDAE,Coscinaraea,monile,Coscinaraea monile,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,SIDERASTREIDAE,Coscinaraea,wellsi,Coscinaraea wellsi,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Ctenactis,albitentaculata,Ctenactis albitentaculata,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Ctenactis,crassa,Ctenactis crassa,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Ctenactis,echinata,Ctenactis echinata,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Cynarina,lacrymalis,Cynarina lacrymalis,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,DENDROPHYLLIIDAE,Dendrophyllia,micranthus,Dendrophyllia micranthus,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,concinna,Fungia concinna,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,costulata,Fungia costulata,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,cyclolites,Fungia cyclolites,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,distorta,Fungia distorta,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,fragilis,Fungia fragilis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,fungites,Fungia fungites,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,granulosa,Fungia granulosa,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,gravis,Fungia gravis,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,horrida,Fungia horrida,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,moluccensis,Fungia moluccensis,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,paumotensis,Fungia paumotensis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,repanda,Fungia repanda,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,scabra,Fungia scabra,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,scruposa,Fungia scruposa,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,scutaria,Fungia scutaria,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,sinensis,Fungia sinensis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,somervillei,Fungia somervillei,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,spinifer,Fungia spinifer,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Fungia,vaughani,Fungia vaughani,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,OCULINIDAE,Galaxea,astreata,Galaxea astreata,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,OCULINIDAE,Galaxea,fascicularis,Galaxea fascicularis,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Gardineroseris,planulata,Gardineroseris planulata,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Goniopora,columna,Goniopora columna,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Goniopora,djiboutiensis,Goniopora djiboutiensis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Goniopora,fruticosa,Goniopora fruticosa,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Goniopora,lobata,Goniopora lobata,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Goniopora,minor,Goniopora minor,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Goniopora,norfolkensis,Goniopora norfolkensis,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Goniopora,pandoraensis,Goniopora pandoraensis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Goniopora,somaliensis,Goniopora somaliensis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Goniopora,stokesi,Goniopora stokesi,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Goniopora,stutchbury,Goniopora stutchbury,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Goniopora,tenuidens,Goniopora tenuidens,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Halomitra,pileus,Halomitra pileus,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Heliofungia,actiniformis,Heliofungia actiniformis,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Herpolitha,limax,Herpolitha limax,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,CARYOPHYLLIIDAE,Heterocyathus,aequicostatus,Heterocyathus aequicostatus,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,DENDROPHYLLIIDAE,Heteropsammia,cochlea,Heteropsammia cochlea,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,MERULINIDAE,Hydnophora,exesa,Hydnophora exesa,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,MERULINIDAE,Hydnophora,microconos,Hydnophora microconos,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,MERULINIDAE,Hydnophora,rigida,Hydnophora rigida,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FAVIIDAE,Leptastrea,inaequalis,Leptastrea inaequalis,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,FAVIIDAE,Leptastrea,pruinosa,Leptastrea pruinosa,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,FAVIIDAE,Leptastrea,purpurea,Leptastrea purpurea,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FAVIIDAE,Leptastrea,transversa,Leptastrea transversa,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Leptoseris,explanata,Leptoseris explanata,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Leptoseris,foliosa,Leptoseris foliosa,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Leptoseris,gardineri,Leptoseris gardineri,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Leptoseris,hawaiiensis,Leptoseris hawaiiensis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Leptoseris,mycetoseroides,Leptoseris mycetoseroides,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Leptoseris,scabra,Leptoseris scabra,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Leptoseris,tenuis,Leptoseris tenuis,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Leptoseris,yabei,Leptoseris yabei,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Lithophyllum,mokai,Lithophyllum mokai,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Lobophyllia,corymbosa,Lobophyllia corymbosa,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Lobophyllia,costata,Lobophyllia costata,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Lobophyllia,hataii,Lobophyllia hataii,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Lobophyllia,hemprichii,Lobophyllia hemprichii,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Lobophyllia,pachysepta,Lobophyllia pachysepta,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,POCILLOPORIDAE,Madracis,kirbyi,Madracis kirbyi,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,MERULINIDAE,Merulina,ampliata,Merulina ampliata,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,MERULINIDAE,Merulina,scabricula,Merulina scabricula,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,aequituberculata,Montipora aequituberculata,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,australiensis,Montipora australiensis,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,caliculata,Montipora caliculata,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,crassituberculata,Montipora crassituberculata,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,danae,Montipora danae,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,digitata,Montipora digitata,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,efflorescens,Montipora efflorescens,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,effusa,Montipora effusa,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,floweri,Montipora floweri,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,foliosa,Montipora foliosa,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,foveolata,Montipora foveolata,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,grisea,Montipora grisea,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,hispida,Montipora hispida,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,hoffmeisteri,Montipora hoffmeisteri,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,incrassata,Montipora incrassata,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,informis,Montipora informis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,millepora,Montipora millepora,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,mollis,Montipora mollis,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,nodosa,Montipora nodosa,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,peltiformis,Montipora peltiformis,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,ramosa,Montipora ramosa,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,spongodes,Montipora spongodes,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,spumosa,Montipora spumosa,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,tuberculosa,Montipora tuberculosa,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,turgescens,Montipora turgescens,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,turtlensis,Montipora turtlensis,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,undata,Montipora undata,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,venosa,Montipora venosa,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Montipora,verrucosa,Montipora verrucosa,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Pachyseris,rugosa,Pachyseris rugosa,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Pachyseris,speciosa,Pachyseris speciosa,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,POCILLOPORIDAE,Palauastrea,ramosa,Palauastrea ramosa,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Pavona,cactus,Pavona cactus,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Pavona,clavus,Pavona clavus,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Pavona,decussata,Pavona decussata,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Pavona,explanulata,Pavona explanulata,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Pavona,maldivensis,Pavona maldivensis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Pavona,minuta,Pavona minuta,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Pavona,varians,Pavona varians,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,AGARICIIDAE,Pavona,venosa,Pavona venosa,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,EUSMILIIDAE,Physogyra,lichtensteini,Physogyra lichtensteini,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,EUSMILIIDAE,Plerogyra,simplex,Plerogyra simplex,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,EUSMILIIDAE,Plerogyra,sinuosa,Plerogyra sinuosa,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,FAVIIDAE,Plesiastrea,versipora,Plesiastrea versipora,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,POCILLOPORIDAE,Pocillopora,damicornis,Pocillopora damicornis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,POCILLOPORIDAE,Pocillopora,eydouxi,Pocillopora eydouxi,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,POCILLOPORIDAE,Pocillopora,meandrina,Pocillopora meandrina,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,POCILLOPORIDAE,Pocillopora,verrucosa,Pocillopora verrucosa,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,POCILLOPORIDAE,Pocillopora,woodjonesi,Pocillopora woodjonesi,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Podabacia,crustacea,Podabacia crustacea,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Polyphyllia,novaehiberniae,Polyphyllia novaehiberniae,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Polyphyllia,talpina,Polyphyllia talpina,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Porites,australiensis,Porites australiensis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Porites,cylindrica,Porites cylindrica,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Porites,lichen,Porites lichen,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Porites,lobata,Porites lobata,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Porites,lutea,Porites lutea,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Porites,murrayensis,Porites murrayensis,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Porites,nigrescens,Porites nigrescens,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Porites,rus,Porites rus,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Porites,solida,Porites solida,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Porites,vaughani,Porites vaughani,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,PSAMMOCORIDAE,Psammocora,contigua,Psammocora contigua,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,PSAMMOCORIDAE,Psammocora,digitata,Psammocora digitata,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,PSAMMOCORIDAE,Psammocora,explanulata,Psammocora explanulata,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,PSAMMOCORIDAE,Psammocora,haimeana,Psammocora haimeana,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,PSAMMOCORIDAE,Psammocora,nierstraszi,Psammocora nierstraszi,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,SIDERASTREIDAE,Pseudosidastrea,tayamai,Pseudosidastrea tayamai,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,FUNGIIDAE,Sandalolitha,robusta,Sandalolitha robusta,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,SCHIZOPATHIDAE,Saropathes,margaritae,Saropathes margaritae,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,MERULINIDAE,Scapophyllia,cylindrica,Scapophyllia cylindrica,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Scolymia,australis,Scolymia australis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Scolymia,fungiformis,Scolymia fungiformis,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Scolymia,vitiensis,Scolymia vitiensis,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,POCILLOPORIDAE,Seriatopora,caliendrum,Seriatopora caliendrum,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,POCILLOPORIDAE,Seriatopora,hystrix,Seriatopora hystrix,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ASTROCOENIIDAE,Stylocoeniella,armata,Stylocoeniella armata,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ASTROCOENIIDAE,Stylocoeniella,guentheri,Stylocoeniella guentheri,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,POCILLOPORIDAE,Stylophora,mordax,Stylophora mordax,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,POCILLOPORIDAE,Stylophora,pistillata,Stylophora pistillata,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Symphyllia,agaricia,Symphyllia agaricia,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Symphyllia,radians,Symphyllia radians,LC,2008
