Kingdom,Phylum,Class,Order,Family,Genus,Species,Gen_Species,IUCN_Status,Year Assessed
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Acanthastrea,bowerbanki,Acanthastrea bowerbanki,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Acanthastrea,echinata,Acanthastrea echinata,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Acanthastrea,hillae,Acanthastrea hillae,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Acanthastrea,rotondoflora,Acanthastrea rotondoflora,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,OCULINIDAE,Acrohelia,horrescens,Acrohelia horrescens,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,abrotanoides,Acropora abrotanoides,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,aculeus,Acropora aculeus,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,acuminata,Acropora acuminata,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,aspera,Acropora aspera,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,austera,Acropora austera,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,brueggemanni,Acropora brueggemanni,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,bushyensis,Acropora bushyensis,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,cerealis,Acropora cerealis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,chesterfieldensis,Acropora chesterfieldensis,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,clathrata,Acropora clathrata,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,cuneata,Acropora cuneata,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,cytherea,Acropora cytherea,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,dendrum,Acropora dendrum,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,digitifera,Acropora digitifera,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,divaricata,Acropora divaricata,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,donei,Acropora donei,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,echinata,Acropora echinata,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,elseyi,Acropora elseyi,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,florida,Acropora florida,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,gemmifera,Acropora gemmifera,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,grandis,Acropora grandis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,granulosa,Acropora granulosa,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,horrida,Acropora horrida,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,humilis,Acropora humilis,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,hyacinthus,Acropora hyacinthus,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,intermedia,Acropora intermedia,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,kirstyae,Acropora kirstyae,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,latistella,Acropora latistella,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,listeri,Acropora listeri,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,longicyathus,Acropora longicyathus,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,loripes,Acropora loripes,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,lutkeni,Acropora lutkeni,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,microclados,Acropora microclados,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,microphthalma,Acropora microphthalma,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,millepora,Acropora millepora,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,monticulosa,Acropora monticulosa,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,muricata,Acropora muricata,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,nasuta,Acropora nasuta,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,palifera,Acropora palifera,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,paniculata,Acropora paniculata,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,polystoma,Acropora polystoma,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,pulchra,Acropora pulchra,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,robusta,Acropora robusta,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,samoensis,Acropora samoensis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,sarmentosa,Acropora sarmentosa,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,secale,Acropora secale,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,selago,Acropora selago,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,solitaryensis,Acropora solitaryensis,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,spicifera,Acropora spicifera,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,subglabra,Acropora subglabra,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,subulata,Acropora subulata,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,tenuis,Acropora tenuis,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,tortuosa,Acropora tortuosa,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,valenciennesi,Acropora valenciennesi,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,valida,Acropora valida,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,vaughani,Acropora vaughani,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,verweyi,Acropora verweyi,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Acropora,yongei,Acropora yongei,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Alveopora,allingi,Alveopora allingi,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Alveopora,catalai,Alveopora catalai,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Alveopora,fenestrata,Alveopora fenestrata,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Alveopora,spongiosa,Alveopora spongiosa,NT,2014
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Alveopora,tizardi,Alveopora tizardi,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,PORITIDAE,Alveopora,verrilliana,Alveopora verrilliana,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Anacropora,forbesi,Anacropora forbesi,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Anacropora,puertogalerae,Anacropora puertogalerae,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Astreopora,expansa,Astreopora expansa,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Astreopora,gracilis,Astreopora gracilis,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Astreopora,listeri,Astreopora listeri,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Astreopora,myriophthalma,Astreopora myriophthalma,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,ACROPORIDAE,Astreopora,ocellata,Astreopora ocellata,LC,2008
