especie,nom,rgn_id
Lithobates berlandieri,Sujeta a proteccion especial (Pr),2
Lithobates berlandieri,Sujeta a proteccion especial (Pr),2
Bufo,,2
Lithobates brownorum,Sujeta a proteccion especial (Pr),2
Lithobates berlandieri,Sujeta a proteccion especial (Pr),2
Scinax staufferi,,2
Bufo,,2
Lithobates berlandieri,Sujeta a proteccion especial (Pr),2
Lithobates berlandieri,Sujeta a proteccion especial (Pr),2
Craugastor berkenbuschii,Sujeta a proteccion especial (Pr),2
Craugastor loki,,2
,,2
Smilisca baudinii,,2
Craugastor rhodopis,,2
Tlalocohyla picta,,2
Bolitoglossa mexicana,Sujeta a proteccion especial (Pr),2
Craugastor loki,,2
Bolitoglossa alberchi,,2
Bolitoglossa alberchi,,2
Bolitoglossa alberchi,,2
Bolitoglossa alberchi,,2
Eleutherodactylus,,2
Dendropsophus microcephalus,,2
Bolitoglossa alberchi,,2
Bolitoglossa alberchi,,2
Craugastor rhodopis,,2
Bolitoglossa alberchi,,2
Bolitoglossa alberchi,,2
Craugastor loki,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Bolitoglossa alberchi,,2
Incilius cavifrons,Sujeta a proteccion especial (Pr),2
Craugastor vulcani,,2
Craugastor vulcani,,2
Craugastor alfredi,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Bolitoglossa alberchi,,2
Craugastor vulcani,,2
Bolitoglossa mexicana,Sujeta a proteccion especial (Pr),2
Dendropsophus microcephalus,,2
Bolitoglossa alberchi,,2
Leptodactylus melanonotus,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Craugastor loki,,2
Tlalocohyla loquax,,2
Craugastor alfredi,,2
Bolitoglossa alberchi,,2
Bolitoglossa alberchi,,2
Craugastor vulcani,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Dendropsophus microcephalus,,2
Craugastor vulcani,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Bolitoglossa alberchi,,2
Bolitoglossa mexicana,Sujeta a proteccion especial (Pr),2
Craugastor vulcani,,2
Leptodactylus fragilis,,2
Craugastor loki,,2
Tlalocohyla loquax,,2
Bolitoglossa alberchi,,2
Bolitoglossa alberchi,,2
Craugastor vulcani,,2
Gastrophryne elegans,Sujeta a proteccion especial (Pr),2
Craugastor loki,,2
Bolitoglossa alberchi,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Bolitoglossa alberchi,,2
Gastrophryne elegans,Sujeta a proteccion especial (Pr),2
,,2
Dendropsophus microcephalus,,2
Bolitoglossa mexicana,Sujeta a proteccion especial (Pr),2
Lithobates vaillanti,,2
Bolitoglossa alberchi,,2
Bolitoglossa alberchi,,2
Bolitoglossa alberchi,,2
Craugastor vulcani,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Eleutherodactylus verrucipes,Sujeta a proteccion especial (Pr),2
Eleutherodactylus verrucipes,Sujeta a proteccion especial (Pr),2
Bolitoglossa alberchi,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Scinax staufferi,,2
Bolitoglossa mexicana,Sujeta a proteccion especial (Pr),2
Craugastor vulcani,,2
,,2
Bolitoglossa alberchi,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Craugastor loki,,2
Scinax staufferi,,2
Tlalocohyla picta,,2
Dendropsophus ebraccatus,,2
Craugastor vulcani,,2
Craugastor vulcani,,2
Bolitoglossa mexicana,Sujeta a proteccion especial (Pr),2
Bolitoglossa alberchi,,2
Tlalocohyla picta,,2
Bolitoglossa alberchi,,2
Bolitoglossa mexicana,Sujeta a proteccion especial (Pr),2
Bolitoglossa alberchi,,2
Bolitoglossa occidentalis,Sujeta a proteccion especial (Pr),2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Scinax staufferi,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Smilisca baudinii,,2
Craugastor vulcani,,2
Craugastor loki,,2
Bolitoglossa alberchi,,2
Bolitoglossa alberchi,,2
Bolitoglossa alberchi,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Craugastor loki,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Bolitoglossa alberchi,,2
Agalychnis callidryas,,2
Tlalocohyla picta,,2
Tlalocohyla picta,,2
Lithobates vaillanti,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Tlalocohyla picta,,2
Bolitoglossa alberchi,,2
Bolitoglossa alberchi,,2
Bolitoglossa alberchi,,2
Eleutherodactylus,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Craugastor alfredi,,2
Bolitoglossa alberchi,,2
Craugastor loki,,2
Craugastor loki,,2
Craugastor vulcani,,2
Smilisca baudinii,,2
Bolitoglossa rufescens,Sujeta a proteccion especial (Pr),2
Bolitoglossa mexicana,Sujeta a proteccion especial (Pr),2
Bolitoglossa alberchi,,2
Eleutherodactylus verrucipes,Sujeta a proteccion especial (Pr),2
Craugastor loki,,2
Bolitoglossa alberchi,,2
Craugastor rhodopis,,2
Craugastor vulcani,,2
