especie,nom,rgn_id
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Uta stansburiana,A,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Aspidoscelis tigris,SR,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Urosaurus nigricaudus,A,3
Aspidoscelis maxima,Pr,3
Elgaria paucicarinata,Pr,3
Urosaurus nigricaudus,A,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Chelonia mydas,P,3
Chelonia mydas,P,3
Chelonia mydas,P,3
Chelonia mydas,P,3
Lepidochelys olivacea,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Chelonia mydas,P,3
Ctenosaura pectinata,A,3
Caretta caretta,P,3
Chelonia mydas,P,3
Caretta caretta,P,3
Lepidochelys olivacea,P,3
Caretta caretta,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Caretta caretta,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Holbrookia,SR,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Dermochelys coriacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Dermochelys coriacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Chelonia mydas,P,3
Lepidochelys olivacea,P,3
Dermochelys coriacea,P,3
Dermochelys coriacea,P,3
Lepidochelys olivacea,P,3
Caretta caretta,P,3
Phyllodactylus unctus,Pr,3
Phyllodactylus unctus,Pr,3
Crotalus mitchellii,Pr,3
Chelonia mydas,P,3
Chelonia mydas,P,3
Sceloporus zosteromus,Pr,3
Urosaurus nigricaudus,A,3
Chelonia mydas,P,3
Lepidochelys olivacea,P,3
Dermochelys coriacea,P,3
Dermochelys coriacea,P,3
Lepidochelys olivacea,P,3
Dermochelys coriacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Dermochelys coriacea,P,3
Lepidochelys olivacea,P,3
Lepidochelys olivacea,P,3
Chelonia mydas,P,3
Chelonia mydas,P,3
Chelonia mydas,P,3
Crotalus mitchellii,Pr,3
Chelonia mydas,P,3
Caretta caretta,P,3
Crotalus mitchellii,Pr,3
Caretta caretta,P,3
Caretta caretta,P,3
Chelonia mydas,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Phyllodactylus unctus,Pr,3
Phyllodactylus unctus,Pr,3
Phyllodactylus unctus,Pr,3
Hypsiglena ochrorhyncha,SR,3
Petrosaurus thalassinus,Pr,3
Caretta caretta,P,3
Caretta caretta,P,3
Caretta caretta,P,3
Phyllodactylus xanti,Pr,3
Phyllodactylus xanti,Pr,3
Phyllodactylus xanti,Pr,3
Phyllodactylus xanti,Pr,3
Chelonia mydas,P,3
Urosaurus nigricaudus,A,3
Aspidoscelis hyperythra,SR,3
Chilomeniscus stramineus,Pr,3
Phyllodactylus unctus,Pr,3
Chelonia mydas,P,3
