especie,nom,rgn_id
Leptodactylus melanonotus,SR,4
Hypopachus ustus,Pr,4
Craugastor loki,SR,4
Rhinella marina,SR,4
Rhinella marina,SR,4
Rhinella marina,SR,4
Hypopachus ustus,Pr,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Rhinella marina,SR,4
Leptodactylus melanonotus,SR,4
Hypopachus ustus,Pr,4
Rhinella marina,SR,4
Leptodactylus melanonotus,SR,4
Craugastor loki,SR,4
Leptodactylus melanonotus,SR,4
Craugastor loki,SR,4
Rhinella marina,SR,4
Hypopachus ustus,Pr,4
Smilisca baudinii,SR,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Rhinella marina,SR,4
Smilisca baudinii,SR,4
Rhinella marina,SR,4
Rhinella marina,SR,4
Rhinella marina,SR,4
Rhinella marina,SR,4
Rhinella marina,SR,4
Rhinella marina,SR,4
Rhinella marina,SR,4
Rhinella marina,SR,4
Craugastor rhodopis,SR,4
Craugastor rhodopis,SR,4
Rhinella marina,SR,4
Smilisca baudinii,SR,4
Smilisca baudinii,SR,4
Smilisca baudinii,SR,4
Smilisca baudinii,SR,4
Rhinella marina,SR,4
Rhinella marina,SR,4
Rhinella marina,SR,4
Leptodactylus melanonotus,SR,4
Lithobates brownorum,Pr,4
Lithobates brownorum,Pr,4
Lithobates brownorum,Pr,4
Leptodactylus melanonotus,SR,4
Eleutherodactylus pipilans,SR,4
Engystomops pustulosus,SR,4
Plectrohyla thorectes,Pr,4
Plectrohyla thorectes,Pr,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Smilisca baudinii,SR,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Engystomops pustulosus,SR,4
Smilisca baudinii,SR,4
Smilisca baudinii,SR,4
Incilius marmoreus,SR,4
Smilisca baudinii,SR,4
Rhinella marina,SR,4
Leptodactylus melanonotus,SR,4
Smilisca baudinii,SR,4
Smilisca baudinii,SR,4
Engystomops pustulosus,SR,4
Scinax staufferi,SR,4
Leptodactylus melanonotus,SR,4
Smilisca baudinii,SR,4
Smilisca baudinii,SR,4
Smilisca baudinii,SR,4
Rhinella marina,SR,4
Scinax staufferi,SR,4
Smilisca baudinii,SR,4
Engystomops pustulosus,SR,4
Leptodactylus melanonotus,SR,4
Smilisca baudinii,SR,4
Leptodactylus melanonotus,SR,4
Smilisca baudinii,SR,4
Smilisca baudinii,SR,4
Smilisca baudinii,SR,4
Smilisca baudinii,SR,4
Incilius marmoreus,SR,4
Smilisca baudinii,SR,4
Engystomops pustulosus,SR,4
Leptodactylus melanonotus,SR,4
Smilisca baudinii,SR,4
Incilius marmoreus,SR,4
Smilisca baudinii,SR,4
Leptodactylus melanonotus,SR,4
Scinax staufferi,SR,4
Hypopachus variolosus,SR,4
Scinax staufferi,SR,4
Engystomops pustulosus,SR,4
Smilisca baudinii,SR,4
Engystomops pustulosus,SR,4
Incilius perplexus,SR,4
Engystomops pustulosus,SR,4
Smilisca baudinii,SR,4
Leptodactylus melanonotus,SR,4
Leptodactylus melanonotus,SR,4
Rhinella marina,SR,4
Rhinella marina,SR,4
