especie,nom,rgn_id
Lithobates berlandieri,Pr,2
Lithobates berlandieri,Pr,2
Bufo,SR,2
Lithobates brownorum,Pr,2
Lithobates berlandieri,Pr,2
Scinax staufferi,SR,2
Bufo,SR,2
Lithobates berlandieri,Pr,2
Lithobates berlandieri,Pr,2
Craugastor berkenbuschii,Pr,2
Craugastor loki,SR,2
,SR,2
Smilisca baudinii,SR,2
Craugastor rhodopis,SR,2
Tlalocohyla picta,SR,2
Bolitoglossa mexicana,Pr,2
Craugastor loki,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Eleutherodactylus,SR,2
Dendropsophus microcephalus,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Craugastor rhodopis,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Craugastor loki,SR,2
Bolitoglossa rufescens,Pr,2
Bolitoglossa alberchi,SR,2
Incilius cavifrons,Pr,2
Craugastor vulcani,SR,2
Craugastor vulcani,SR,2
Craugastor alfredi,SR,2
Bolitoglossa rufescens,Pr,2
Bolitoglossa alberchi,SR,2
Craugastor vulcani,SR,2
Bolitoglossa mexicana,Pr,2
Dendropsophus microcephalus,SR,2
Bolitoglossa alberchi,SR,2
Leptodactylus melanonotus,SR,2
Bolitoglossa rufescens,Pr,2
Craugastor loki,SR,2
Tlalocohyla loquax,SR,2
Craugastor alfredi,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Craugastor vulcani,SR,2
Bolitoglossa rufescens,Pr,2
Bolitoglossa rufescens,Pr,2
Dendropsophus microcephalus,SR,2
Craugastor vulcani,SR,2
Bolitoglossa rufescens,Pr,2
Bolitoglossa alberchi,SR,2
Bolitoglossa mexicana,Pr,2
Craugastor vulcani,SR,2
Leptodactylus fragilis,SR,2
Craugastor loki,SR,2
Tlalocohyla loquax,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Craugastor vulcani,SR,2
Gastrophryne elegans,Pr,2
Craugastor loki,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa rufescens,Pr,2
Bolitoglossa alberchi,SR,2
Gastrophryne elegans,Pr,2
,SR,2
Dendropsophus microcephalus,SR,2
Bolitoglossa mexicana,Pr,2
Lithobates vaillanti,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Craugastor vulcani,SR,2
Bolitoglossa rufescens,Pr,2
Eleutherodactylus verrucipes,Pr,2
Eleutherodactylus verrucipes,Pr,2
Bolitoglossa alberchi,SR,2
Bolitoglossa rufescens,Pr,2
Bolitoglossa rufescens,Pr,2
Scinax staufferi,SR,2
Bolitoglossa mexicana,Pr,2
Craugastor vulcani,SR,2
,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa rufescens,Pr,2
Craugastor loki,SR,2
Scinax staufferi,SR,2
Tlalocohyla picta,SR,2
Dendropsophus ebraccatus,SR,2
Craugastor vulcani,SR,2
Craugastor vulcani,SR,2
Bolitoglossa mexicana,Pr,2
Bolitoglossa alberchi,SR,2
Tlalocohyla picta,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa mexicana,Pr,2
Bolitoglossa alberchi,SR,2
Bolitoglossa occidentalis,Pr,2
Bolitoglossa rufescens,Pr,2
Scinax staufferi,SR,2
Bolitoglossa rufescens,Pr,2
Smilisca baudinii,SR,2
Craugastor vulcani,SR,2
Craugastor loki,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa rufescens,Pr,2
Bolitoglossa rufescens,Pr,2
Craugastor loki,SR,2
Bolitoglossa rufescens,Pr,2
Bolitoglossa alberchi,SR,2
Agalychnis callidryas,SR,2
Tlalocohyla picta,SR,2
Tlalocohyla picta,SR,2
Lithobates vaillanti,SR,2
Bolitoglossa rufescens,Pr,2
Tlalocohyla picta,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Eleutherodactylus,SR,2
Bolitoglossa rufescens,Pr,2
Craugastor alfredi,SR,2
Bolitoglossa alberchi,SR,2
Craugastor loki,SR,2
Craugastor loki,SR,2
Craugastor vulcani,SR,2
Smilisca baudinii,SR,2
Bolitoglossa rufescens,Pr,2
Bolitoglossa mexicana,Pr,2
Bolitoglossa alberchi,SR,2
Eleutherodactylus verrucipes,Pr,2
Craugastor loki,SR,2
Bolitoglossa alberchi,SR,2
Craugastor rhodopis,SR,2
Craugastor vulcani,SR,2
Bolitoglossa mexicana,Pr,2
Dendropsophus microcephalus,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa rufescens,Pr,2
Craugastor vulcani,SR,2
Eleutherodactylus,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa mexicana,Pr,2
Craugastor alfredi,SR,2
Tlalocohyla picta,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa mexicana,Pr,2
Bolitoglossa rufescens,Pr,2
Tlalocohyla picta,SR,2
Agalychnis callidryas,SR,2
Bolitoglossa alberchi,SR,2
,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Dendropsophus microcephalus,SR,2
Craugastor vulcani,SR,2
Bolitoglossa mexicana,Pr,2
Bolitoglossa mexicana,Pr,2
Bolitoglossa mexicana,Pr,2
Bolitoglossa rufescens,Pr,2
Craugastor vulcani,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa alberchi,SR,2
Craugastor vulcani,SR,2
Dendropsophus ebraccatus,SR,2
Bolitoglossa alberchi,SR,2
Craugastor vulcani,SR,2
Bolitoglossa mexicana,Pr,2
Bolitoglossa alberchi,SR,2
Bolitoglossa mexicana,Pr,2
Bolitoglossa alberchi,SR,2
Bolitoglossa rufescens,Pr,2
Bolitoglossa alberchi,SR,2
Bolitoglossa mexicana,Pr,2
Bolitoglossa alberchi,SR,2
Gastrophryne elegans,Pr,2
Lithobates vaillanti,SR,2
Craugastor vulcani,SR,2
Bolitoglossa alberchi,SR,2
Craugastor loki,SR,2
Eleutherodactylus,SR,2
Craugastor vulcani,SR,2
Tlalocohyla loquax,SR,2
Tlalocohyla picta,SR,2
Tlalocohyla picta,SR,2
Bolitoglossa rufescens,Pr,2
Bolitoglossa alberchi,SR,2
Craugastor vulcani,SR,2
Craugastor vulcani,SR,2
Tlalocohyla loquax,SR,2
Tlalocohyla picta,SR,2
Bolitoglossa alberchi,SR,2
Craugastor loki,SR,2
Bolitoglossa alberchi,SR,2
Eleutherodactylus,SR,2
Bolitoglossa alberchi,SR,2
Scinax staufferi,SR,2
Bolitoglossa alberchi,SR,2
Craugastor vulcani,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa mexicana,Pr,2
Tlalocohyla loquax,SR,2
Bolitoglossa alberchi,SR,2
Craugastor loki,SR,2
Bolitoglossa alberchi,SR,2
Bolitoglossa rufescens,Pr,2
Bolitoglossa alberchi,SR,2
Craugastor loki,SR,2
Eleutherodactylus,SR,2
Bolitoglossa mexicana,Pr,2
Dendropsophus microcephalus,SR,2
Pseudoeurycea lineola,Pr,2
Bolitoglossa mexicana,Pr,2
Dendropsophus ebraccatus,SR,2
Bolitoglossa rufescens,Pr,2
Bolitoglossa rufescens,Pr,2
Eleutherodactylus verrucipes,Pr,2
Bolitoglossa rufescens,Pr,2
Lithobates vaillanti,SR,2
Dendropsophus ebraccatus,SR,2
Craugastor rhodopis,SR,2
Lithobates vaillanti,SR,2
Tlalocohyla picta,SR,2
