especie,nom,rgn_id
Crocodylus moreletii,Pr,5
Aristelliger georgeensis,Pr,5
Anolis sagrei,SR,5
Rhinoclemmys areolata,A,5
Leptophis mexicanus,A,5
Leptophis mexicanus,A,5
Sphaerodactylus millepunctatus,SR,5
Sceloporus cozumelae,Pr,5
Aspidoscelis cozumela,SR,5
Boa constrictor,A,5
Anolis rodriguezii,SR,5
Sphaerodactylus millepunctatus,SR,5
Ctenosaura similis,A,5
Sceloporus cozumelae,Pr,5
Sceloporus cozumelae,Pr,5
Kinosternon scorpioides,Pr,5
Hemidactylus frenatus,SR,5
Sceloporus cozumelae,Pr,5
Ctenosaura similis,A,5
Hemidactylus frenatus,SR,5
Aspidoscelis maslini,SR,5
Aspidoscelis maslini,SR,5
Aspidoscelis maslini,SR,5
Aspidoscelis maslini,SR,5
Aspidoscelis maslini,SR,5
Aspidoscelis maslini,SR,5
Ctenosaura similis,A,5
Ctenosaura similis,A,5
Ctenosaura similis,A,5
Ctenosaura similis,A,5
Ctenosaura similis,A,5
Ctenosaura similis,A,5
Ctenosaura similis,A,5
Ctenosaura similis,A,5
Tropidodipsas sartorii,SR,5
Anolis sagrei,SR,5
Anolis sagrei,SR,5
Thamnophis proximus,A,5
Anolis sagrei,SR,5
Anolis sagrei,SR,5
Marisora brachypoda,SR,5
Chelonia mydas,P,5
Iguana iguana,Pr,5
Ctenosaura,SR,5
Ctenosaura similis,A,5
Anolis sagrei,SR,5
Marisora brachypoda,SR,5
Marisora brachypoda,SR,5
Marisora brachypoda,SR,5
Marisora brachypoda,SR,5
Sceloporus cozumelae,Pr,5
Ctenosaura,SR,5
Aspidoscelis cozumela,SR,5
Aspidoscelis cozumela,SR,5
Aspidoscelis cozumela,SR,5
Aspidoscelis cozumela,SR,5
Aspidoscelis cozumela,SR,5
Aspidoscelis cozumela,SR,5
Aspidoscelis cozumela,SR,5
Aspidoscelis cozumela,SR,5
Aspidoscelis cozumela,SR,5
Aspidoscelis cozumela,SR,5
Aspidoscelis cozumela,SR,5
Aspidoscelis cozumela,SR,5
Caretta caretta,P,5
Sceloporus cozumelae,Pr,5
Chelonia mydas,P,5
Ctenosaura similis,A,5
Ctenosaura similis,A,5
Crocodylus acutus,Pr,5
Crocodylus acutus,Pr,5
Ctenosaura similis,A,5
Rhinoclemmys areolata,A,5
Chelonia mydas,P,5
Chelonia mydas,P,5
Caretta caretta,P,5
Caretta caretta,P,5
Lepidochelys kempii,P,5
Marisora brachypoda,SR,5
Iguana iguana,Pr,5
Chelonia,SR,5
Eretmochelys,SR,5
Chelonia mydas,P,5
Eretmochelys imbricata,P,5
Chelonia mydas,P,5
Caretta caretta,P,5
Chelonia mydas,P,5
Eretmochelys,SR,5
Chelonia mydas,P,5
Eretmochelys,SR,5
Chelonia,SR,5
Caretta caretta,P,5
Eretmochelys,SR,5
Chelonia mydas,P,5
Eretmochelys imbricata,P,5
Chelonia mydas,P,5
Caretta caretta,P,5
Eretmochelys imbricata,P,5
Chelonia mydas,P,5
Eretmochelys imbricata,P,5
Eretmochelys imbricata,P,5
Chelonia mydas,P,5
Chelonia mydas,P,5
Chelonia mydas,P,5
Chelonia mydas,P,5
Chelonia mydas,P,5
Chelonia mydas,P,5
Chelonia mydas,P,5
Basiliscus vittatus,SR,5
Hemidactylus frenatus,SR,5
Aristelliger georgeensis,Pr,5
Eretmochelys,SR,5
