rgn_id,taxa_code,year,tonnes
1,Abalones nei_447,1995,0.1
1,Abalones nei_447,1996,1
1,Abalones nei_447,1997,0.1
1,Abalones nei_447,1998,4
1,Abalones nei_447,1999,2
1,Abalones nei_447,2000,9
1,Abalones nei_447,2001,16
1,Abalones nei_447,2002,25
1,Abalones nei_447,2003,25
1,Abalones nei_447,2004,31
1,Abalones nei_447,2005,18
1,Abalones nei_447,2006,19
1,Abalones nei_447,2007,10
1,Abalones nei_447,2008,0.05
1,Abalones nei_447,2009,0
1,Abalones nei_447,2010,0
1,Abalones nei_447,2011,0
1,Abalones nei_447,2012,0
1,Abalones nei_447,2013,8.22
1,Abalones nei_447,2014,0.45
1,Abalones nei_447,2015,1.77
1,American cupped oyster_448,2000,283
1,American cupped oyster_448,2001,510
1,American cupped oyster_448,2002,295
1,American cupped oyster_448,2003,400
1,American cupped oyster_448,2004,292
1,American cupped oyster_448,2005,2727
1,American cupped oyster_448,2006,1749
1,American cupped oyster_448,2007,1
1,American cupped oyster_448,2008,0
1,American cupped oyster_448,2009,0
1,American cupped oyster_448,2010,0
1,American cupped oyster_448,2011,0
1,American cupped oyster_448,2012,0
1,American cupped oyster_448,2013,0
1,American cupped oyster_448,2014,0
1,American cupped oyster_448,2015,0
1,Bastard halibuts nei_449,2007,47
1,Bastard halibuts nei_449,2008,56
1,Bastard halibuts nei_449,2009,52
1,Bastard halibuts nei_449,2010,1
1,Bastard halibuts nei_449,2011,0
1,Bastard halibuts nei_449,2012,0
1,Bastard halibuts nei_449,2013,0
1,Bastard halibuts nei_449,2014,0
1,Bastard halibuts nei_449,2015,0
1,"Clams, etc. nei_450",2001,169
1,"Clams, etc. nei_450",2002,1
1,"Clams, etc. nei_450",2003,1
1,"Clams, etc. nei_450",2004,1
1,"Clams, etc. nei_450",2005,75
1,"Clams, etc. nei_450",2006,78
1,"Clams, etc. nei_450",2007,22
1,"Clams, etc. nei_450",2008,148
1,"Clams, etc. nei_450",2009,175
1,"Clams, etc. nei_450",2010,251
1,"Clams, etc. nei_450",2011,349
1,"Clams, etc. nei_450",2012,325
1,"Clams, etc. nei_450",2013,370.49
1,"Clams, etc. nei_450",2014,521
1,"Clams, etc. nei_450",2015,440.53
1,Cortez oyster_451,1994,91
1,Cortez oyster_451,1995,0
1,Cortez oyster_451,1996,174
1,Cortez oyster_451,1997,0
1,Cortez oyster_451,1998,0
1,Cortez oyster_451,1999,0
1,Cortez oyster_451,2000,685
1,Cortez oyster_451,2001,593
1,Cortez oyster_451,2002,21
1,Cortez oyster_451,2003,409
1,Cortez oyster_451,2004,317
1,Cortez oyster_451,2005,593
1,Cortez oyster_451,2006,619
1,Cortez oyster_451,2007,8
1,Cortez oyster_451,2008,1162
1,Cortez oyster_451,2009,1200
1,Cortez oyster_451,2010,1036
1,Cortez oyster_451,2011,608
1,Cortez oyster_451,2012,2590
1,Cortez oyster_451,2013,2421.46
1,Cortez oyster_451,2014,1150
1,Cortez oyster_451,2015,1321.9
1,Crevalle jack_452,2002,2
1,Crevalle jack_452,2003,2
1,Crevalle jack_452,2004,2
1,Crevalle jack_452,2005,0
1,Crevalle jack_452,2006,0
1,Crevalle jack_452,2007,0
1,Crevalle jack_452,2008,0
1,Crevalle jack_452,2009,0
1,Crevalle jack_452,2010,1
1,Crevalle jack_452,2011,5
1,Crevalle jack_452,2012,0.02
1,Crevalle jack_452,2013,0
1,Crevalle jack_452,2014,0
1,Crevalle jack_452,2015,0
1,Flathead grey mullet_453,1994,3
1,Flathead grey mullet_453,1995,0.1
1,Flathead grey mullet_453,1996,0.1
1,Flathead grey mullet_453,1997,0.1
1,Flathead grey mullet_453,1998,0.1
1,Flathead grey mullet_453,1999,0.1
1,Flathead grey mullet_453,2000,1
1,Flathead grey mullet_453,2001,0.1
1,Flathead grey mullet_453,2002,0.1
1,Flathead grey mullet_453,2003,0.1
1,Flathead grey mullet_453,2004,0.1
1,Flathead grey mullet_453,2005,0
1,Flathead grey mullet_453,2006,0
1,Flathead grey mullet_453,2007,0
1,Flathead grey mullet_453,2008,0
1,Flathead grey mullet_453,2009,0
1,Flathead grey mullet_453,2010,0
1,Flathead grey mullet_453,2011,0
1,Flathead grey mullet_453,2012,0
1,Flathead grey mullet_453,2013,0
1,Flathead grey mullet_453,2014,0
1,Flathead grey mullet_453,2015,0
1,Largemouth black bass_454,1994,109
1,Largemouth black bass_454,1995,23
1,Largemouth black bass_454,1996,60
1,Largemouth black bass_454,1997,145
1,Largemouth black bass_454,1998,190
