rgn_id,year,pressure_score
1,2003,0
1,2004,0
1,2005,0
1,2006,0
1,2007,0
1,2008,0
1,2009,0
1,2010,0
1,2011,0.00673262649156359
1,2012,0
1,2013,0
1,2014,0.00433491330411739
2,2003,0
2,2004,0
2,2005,0
2,2006,0
2,2007,0
2,2008,0
2,2009,0
2,2010,0
2,2011,0.00673262649156359
2,2012,0
2,2013,0
2,2014,0.00433491330411739
3,2003,0
3,2004,0
3,2005,0
3,2006,0
3,2007,0
3,2008,0
3,2009,0
3,2010,0
3,2011,0.00673262649156359
3,2012,0
3,2013,0
3,2014,0.00433491330411739
4,2003,0
4,2004,0
4,2005,0
4,2006,0
4,2007,0
4,2008,0
4,2009,0
4,2010,0
4,2011,0.00673262649156359
4,2012,0
4,2013,0
4,2014,0.00433491330411739
5,2003,0
5,2004,0
5,2005,0
5,2006,0
5,2007,0
5,2008,0
5,2009,0
5,2010,0
5,2011,0.00673262649156359
5,2012,0
5,2013,0
5,2014,0.00433491330411739
