rgn_id,year,a_prot_1km
1,2000,4896.25
1,2001,4896.25
1,2002,4914.25
1,2003,4914.25
1,2004,4973
1,2005,6170.5
1,2006,6237.25
1,2007,6400.75
1,2008,6749
1,2009,6785.25
1,2010,6853.75
1,2011,6863.75
1,2012,6905
1,2013,6915.25
1,2014,6926
1,2015,6926
1,2016,7518.25
1,2017,7518.25
2,2000,4896.25
2,2001,4896.25
2,2002,4914.25
2,2003,4914.25
2,2004,4973
2,2005,6170.5
2,2006,6237.25
2,2007,6400.75
2,2008,6749
2,2009,6785.25
2,2010,6853.75
2,2011,6863.75
2,2012,6905
2,2013,6915.25
2,2014,6926
2,2015,6926
2,2016,7518.25
2,2017,7518.25
3,2000,4896.25
3,2001,4896.25
3,2002,4914.25
3,2003,4914.25
3,2004,4973
3,2005,6170.5
3,2006,6237.25
3,2007,6400.75
3,2008,6749
3,2009,6785.25
3,2010,6853.75
3,2011,6863.75
3,2012,6905
3,2013,6915.25
3,2014,6926
3,2015,6926
3,2016,7518.25
3,2017,7518.25
4,2000,4896.25
4,2001,4896.25
4,2002,4914.25
4,2003,4914.25
4,2004,4973
4,2005,6170.5
4,2006,6237.25
4,2007,6400.75
4,2008,6749
4,2009,6785.25
4,2010,6853.75
4,2011,6863.75
4,2012,6905
4,2013,6915.25
4,2014,6926
4,2015,6926
4,2016,7518.25
4,2017,7518.25
5,2000,4896.25
5,2001,4896.25
5,2002,4914.25
5,2003,4914.25
5,2004,4973
5,2005,6170.5
5,2006,6237.25
5,2007,6400.75
5,2008,6749
5,2009,6785.25
5,2010,6853.75
5,2011,6863.75
5,2012,6905
5,2013,6915.25
5,2014,6926
5,2015,6926
5,2016,7518.25
5,2017,7518.25
