rgn_id,habitat,year,trend
1,mangrove,2012,-0.005585
1,mangrove,2013,-0.005966
1,mangrove,2014,-0.005461
1,mangrove,2015,-0.004436
2,mangrove,2012,-0.005585
2,mangrove,2013,-0.005966
2,mangrove,2014,-0.005461
2,mangrove,2015,-0.004436
3,mangrove,2012,-0.005585
3,mangrove,2013,-0.005966
3,mangrove,2014,-0.005461
3,mangrove,2015,-0.004436
4,mangrove,2012,-0.005585
4,mangrove,2013,-0.005966
4,mangrove,2014,-0.005461
4,mangrove,2015,-0.004436
5,mangrove,2012,-0.005585
5,mangrove,2013,-0.005966
5,mangrove,2014,-0.005461
5,mangrove,2015,-0.004436
