Regi¢n,"Im genes de sat‚lite, resolucion 10m",Escala 1:50 000,area eliminada por escala ,porcentaje de area eliminada por escala
pacifico norte,"186,891","171,910","14,981", 2.19 
pacifico centro,"7,578","6,715",863,0.13
pacifico sur,"65,916","63,519","2,397", 0.35 
golfo de mexico,"74,244","71,689","2,556", 0.37 
yuatan ,"349,252","341,835","7,417", 1.08 
total,"683,881",,, 4.12 
