Entidad federativa,,Extensión Humedales (Km2),
Pacífico Norte,,,
Baja California Sur,,1208.7,
Baja California Norte,,2219.95,
Sonora,,1619.47,
Sinaloa,,4204.63,
Nayarit,,960.42,
,,,
Pacífico Centro,,,
Jalisco,,1236.71,
Colima,,353.02,
Michoacan,,593.12,
Guerrero,,155.53,
Oaxaca,,1901.15,
Chiapas,,2213.15,
,,,
Golfo de México y Caribe,,,
Tamaulipas,,4983.15,
Veracruz,,3021.02,
Tabasco,,6289.62,
Campeche,,24.32,
Yucatán,,1195.16,
Quintana Roo,,6098.48,
,,,
"Landgrave, R., & Moreno-Casasola, P. (2012). Evaluación cuantitativa de la pérdida de humedales en México. Investigación ambiental Ciencia y política pública, 4(1).",,,
